person_id,traj_id,n_moves,n_unique_pois,visited_traveler,visited_hospital,total_dist_km,avg_step_km,max_dist_km,net_dist_km,home_idx,end_idx,cats,traj_cluster,traj_cluster_old,cluster_id_bestk,n_points_rich,n_steps_rich,pt_idx_min_rich,pt_idx_max_rich,pt_idx_span_rich,pt_idx_mean_gap_rich,pt_idx_std_gap_rich,step_km_rich_mean,step_km_rich_std,step_km_rich_min,step_km_rich_q10,step_km_rich_q25,step_km_rich_median,step_km_rich_q75,step_km_rich_q90,step_km_rich_max,step_km_rich_sum,total_dist_km_rich,net_dist_km_rich,efficiency_net_over_total_rich,dist_from_start_km_rich_mean,dist_from_start_km_rich_std,dist_from_start_km_rich_min,dist_from_start_km_rich_q10,dist_from_start_km_rich_q25,dist_from_start_km_rich_median,dist_from_start_km_rich_q75,dist_from_start_km_rich_q90,dist_from_start_km_rich_max,dist_from_start_km_rich_sum,radius_gyration_km,max_radius_from_centroid_km,bbox_width_km,bbox_height_km,bbox_diag_km,bbox_area_km2,hull_area_km2,hull_perimeter_km,turn_deg_rich_mean,turn_deg_rich_std,turn_deg_rich_min,turn_deg_rich_q10,turn_deg_rich_q25,turn_deg_rich_median,turn_deg_rich_q75,turn_deg_rich_q90,turn_deg_rich_max,turn_deg_rich_sum,turn_gt_45_frac,turn_gt_90_frac,turn_gt_135_frac,stationary_frac_50m,stationary_frac_100m,jump_frac_500m,jump_frac_1km,longest_stationary_run_50m,longest_stationary_run_100m,unique_cells_3dp,unique_cells_4dp,revisit_ratio_3dp,revisit_ratio_4dp,start_end_same_cell_3dp,start_end_same_cell_4dp,seg1_total_dist_km,seg1_net_dist_km,seg1_n_points,seg2_total_dist_km,seg2_net_dist_km,seg2_n_points,seg3_total_dist_km,seg3_net_dist_km,seg3_n_points,knn_k3_label_raw,cluster_labelled_type,reference_lab
0,008451a05e1e7aa32c75119df950d405265e0904,142,4,False,False,58.08523104275027,0.4090509228362695,13.90785491918662,0.0,1,143,,evac_out_of_zone,sip_home_grocery,2,143,142,1.0,143.0,142.0,1.0,0.0,0.4090509228362695,2.1906612120454185,0.0,0.0,0.0,0.0,0.0,0.0,13.90785491918662,58.08523104275027,58.08523104275027,0.0,0.0,0.2030952134361897,1.557095752847751,0.0,0.0,0.0,0.0,0.0,0.0,13.90785491918662,29.042615521375136,1.5552670190348703,13.681242505831944,10.74556399040837,9.092119621945804,14.076000308742998,97.69995320606618,25.910784093119997,29.640698600259096,7.659574468085107,32.72021388811247,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1080.0,0.0496453900709219,0.0425531914893617,0.0354609929078014,0.9577464788732394,0.9577464788732394,0.0422535211267605,0.0422535211267605,48,48,4,4,0.972027972027972,0.972027972027972,1,1,0.0,0.0,48,33.5006296220234,0.0,48,24.584601420726862,0.0,47,evac_out_of_zone,extensive_displacement,extensive_displacement
1,01592d51db5afd0165cb73baca5c0b340c4889f1,142,2,False,False,11.264891308979749,0.0793302204857728,5.632445654489874,0.0,1,143,,sip_home_grocery,sip_hospital,0,143,142,1.0,143.0,142.0,1.0,0.0,0.0793302204857728,0.6637242437658081,0.0,0.0,0.0,0.0,0.0,0.0,5.632445654489874,11.264891308979749,11.264891308979749,0.0,0.0,0.0393877318495795,0.4693589944553341,0.0,0.0,0.0,0.0,0.0,0.0,5.632445654489874,5.632445654489874,0.4688620077285021,5.587135642290304,4.584786124574629,3.261446328176425,5.626481667940236,14.953033871468149,0.0,0.0,2.5531914893617023,19.50401960066821,0.0,0.0,0.0,0.0,0.0,0.0,180.0,360.0,0.0141843971631205,0.0141843971631205,0.0141843971631205,0.9859154929577464,0.9859154929577464,0.0140845070422535,0.0140845070422535,93,93,2,2,0.986013986013986,0.986013986013986,1,1,0.0,0.0,48,5.632445654489874,5.632445654489874,48,0.0,0.0,47,sip_home_grocery,compact_local,compact_local
2,0159a99ed28b0581890608d24ada9decc4874197,142,1,False,False,0.0,0.0,0.0,0.0,1,143,,sip_hospital,sip_home_grocery,1,143,142,1.0,143.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.070399965086662e-28,4.070399965086662e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,142,142,1,1,0.993006993006993,0.993006993006993,1,1,0.0,0.0,48,0.0,0.0,48,0.0,0.0,47,sip_hospital,intermediate_directed,intermediate_directed
3,0286dd552c9bea9a69ecb3759e7b94777635514b,142,20,False,False,2460.436985041753,17.327021021420794,617.30301679932,0.0,1,143,,sip_hospital,evac_out_of_zone,1,143,142,1.0,143.0,142.0,1.0,0.0,17.327021021420794,88.452574633887,0.0,0.0,0.0,0.0,0.0,34.89633831732091,617.30301679932,2460.436985041753,2460.436985041753,0.0,0.0,46.1796170127958,136.12688175494728,0.0,0.0,0.0,0.0,0.0,169.2338597414045,617.30301679932,6603.6852328298,136.9924160749852,575.9560925482973,551.4155795158662,289.4074311059979,622.7485869210716,159583.76633951193,1009.3261400709348,1245.8242930705371,5.106382978723516,27.804953833692377,0.0,0.0,0.0,0.0,0.0,1.0432219355200337e-12,180.0,720.0000000000157,0.0283687943262411,0.0283687943262411,0.0283687943262411,0.852112676056338,0.852112676056338,0.1478873239436619,0.1478873239436619,76,76,20,20,0.8601398601398601,0.8601398601398601,1,1,1234.6946933118436,0.0,48,0.0,0.0,48,1225.7422917299093,0.0,47,sip_hospital,intermediate_directed,intermediate_directed
4,04f1241ed2b1b531c2c853ce1eeff952cd0f40f3,142,1,False,False,0.0,0.0,0.0,0.0,1,143,,sip_home_grocery,sip_home_grocery,0,143,142,1.0,143.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,142,142,1,1,0.993006993006993,0.993006993006993,1,1,0.0,0.0,48,0.0,0.0,48,0.0,0.0,47,sip_hospital,compact_local,intermediate_directed
11,097ccd4f03d962011101c1221009e53461a0993f,142,3,False,False,4.476245388519232,0.0315228548487269,1.1802107429855029,0.0,1,143,,sip_home_grocery,sip_home_grocery,0,143,142,1.0,143.0,142.0,1.0,0.0,0.0315228548487269,0.1854390708061262,0.0,0.0,0.0,0.0,0.0,0.0,1.1802107429855029,4.476245388519232,4.476245388519232,0.0,0.0,0.0156512076521651,0.1316130631885562,0.0,0.0,0.0,0.0,0.0,0.0,1.1802107429855029,2.238122694259616,0.1315975838255149,1.163499004423349,1.0370833980577618,0.7613582126385033,1.286548989537177,0.7895919623023231,0.2988369972665,2.8020589103238707,5.1063829787234045,28.02691077954709,0.0,0.0,0.0,0.0,0.0,0.0,180.0,720.0,0.0283687943262411,0.0283687943262411,0.0283687943262411,0.971830985915493,0.971830985915493,0.028169014084507,0.028169014084507,72,72,3,3,0.9790209790209792,0.9790209790209792,1,1,0.0,0.0,48,2.3604214859710058,0.0,48,2.1158239025482253,0.0,47,sip_home_grocery,compact_local,compact_local
12,09d66f6e5482d9b0ba91815c350fd9af3770819b,142,2,False,False,9.62169231764697,0.0677583966031476,4.810846158823485,0.0,1,143,,sip_hospital,sip_hospital,1,143,142,1.0,143.0,142.0,1.0,0.0,0.0677583966031476,0.5669074189989595,0.0,0.0,0.0,0.0,0.0,0.0,4.810846158823485,9.62169231764697,9.62169231764697,0.0,0.0,0.0336422808309334,0.4008940439194,0.0,0.0,0.0,0.0,0.0,0.0,4.810846158823485,4.810846158823485,0.4003501155916661,4.770722223909602,3.855373743000136,2.866630950001667,4.804318859289247,11.05193369550796,0.0,0.0,2.5531914893617023,19.45663763336877,0.0,0.0,0.0,0.0,0.0,0.0,180.0,360.0,0.0141843971631205,0.0141843971631205,0.0141843971631205,0.9859154929577464,0.9859154929577464,0.0140845070422535,0.0140845070422535,93,93,2,2,0.986013986013986,0.986013986013986,1,1,0.0,0.0,48,4.810846158823485,4.810846158823485,48,0.0,0.0,47,sip_hospital,intermediate_directed,intermediate_directed
14,0ade7c2cf97f75d009975f4d720d1fa6c19f4897,142,23,False,False,1540.3589002418255,10.84759788902694,770.0980748668197,0.0,1,143,,evac_out_of_zone,evac_out_of_zone,2,143,142,1.0,143.0,142.0,1.0,0.0,10.84759788902694,65.18184305602217,0.0,0.0,0.0,0.0,0.0,34.911537886255914,770.0980748668197,1540.3589002418255,1540.3589002418255,0.0,0.0,62.184136588612674,169.84565116025894,0.0,0.0,0.0,0.0,0.0,275.27791339774126,770.0980748668197,8892.331532171613,171.02242686848703,715.1228777971656,660.2923569165747,410.81919228176383,777.6621408744842,271260.7727382893,0.0004888717528978,1555.3242815929395,2.553191489361823,19.64844181958509,0.0,0.0,0.0,0.0,0.0,6.869998111961196e-13,179.9999999999996,360.00000000001705,0.0141843971631205,0.0141843971631205,0.0141843971631205,0.8380281690140845,0.8380281690140845,0.1619718309859155,0.1619718309859155,95,95,23,23,0.8391608391608392,0.8391608391608392,1,1,1540.3589002418253,0.0,48,0.0,0.0,48,0.0,0.0,47,evac_out_of_zone,extensive_displacement,extensive_displacement
17,0ca9277f91e40054767f69afeb0426711ca0fddd,142,3,False,False,17.522044930890747,0.1233946826119066,4.785259537858283,0.0,1,143,,evac_out_of_zone,sip_home_grocery,2,143,142,1.0,143.0,142.0,1.0,0.0,0.1233946826119066,0.7279561985213365,0.0,0.0,0.0,0.0,0.0,0.0,4.785259537858283,17.522044930890747,17.522044930890747,0.0,0.0,0.0612658913667508,0.5166368369866184,0.0,0.0,0.0,0.0,0.0,0.0,4.785259537858283,8.761022465445373,0.5178487600445446,4.757562501637838,3.4112310014574385,8.025103764276013,8.720022211709173,27.375482750611123,0.2893146853850006,17.441063384926235,5.1063829787234045,26.04725746282819,0.0,0.0,0.0,0.0,0.0,0.0,180.0,720.0,0.0425531914893617,0.0283687943262411,0.0141843971631205,0.971830985915493,0.971830985915493,0.028169014084507,0.028169014084507,68,68,3,3,0.9790209790209792,0.9790209790209792,1,1,7.95152585517418,0.0,48,9.570519075716566,0.0,48,0.0,0.0,47,evac_out_of_zone,extensive_displacement,extensive_displacement
20,114d4eefde1dae3983e7a79f04c72feb9a3a7efd,142,1,False,False,0.0,0.0,0.0,0.0,1,143,,sip_home_grocery,sip_home_grocery,0,143,142,1.0,143.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,142,142,1,1,0.993006993006993,0.993006993006993,1,1,0.0,0.0,48,0.0,0.0,48,0.0,0.0,47,sip_hospital,compact_local,intermediate_directed
