person_id,traj_id,n_moves,n_unique_pois,visited_traveler,visited_hospital,total_dist_km,avg_step_km,max_dist_km,net_dist_km,home_idx,end_idx,cats,traj_cluster,traj_cluster_old,cluster_id_bestk,n_points_rich,n_steps_rich,pt_idx_min_rich,pt_idx_max_rich,pt_idx_span_rich,pt_idx_mean_gap_rich,pt_idx_std_gap_rich,step_km_rich_mean,step_km_rich_std,step_km_rich_min,step_km_rich_q10,step_km_rich_q25,step_km_rich_median,step_km_rich_q75,step_km_rich_q90,step_km_rich_max,step_km_rich_sum,total_dist_km_rich,net_dist_km_rich,efficiency_net_over_total_rich,dist_from_start_km_rich_mean,dist_from_start_km_rich_std,dist_from_start_km_rich_min,dist_from_start_km_rich_q10,dist_from_start_km_rich_q25,dist_from_start_km_rich_median,dist_from_start_km_rich_q75,dist_from_start_km_rich_q90,dist_from_start_km_rich_max,dist_from_start_km_rich_sum,radius_gyration_km,max_radius_from_centroid_km,bbox_width_km,bbox_height_km,bbox_diag_km,bbox_area_km2,hull_area_km2,hull_perimeter_km,turn_deg_rich_mean,turn_deg_rich_std,turn_deg_rich_min,turn_deg_rich_q10,turn_deg_rich_q25,turn_deg_rich_median,turn_deg_rich_q75,turn_deg_rich_q90,turn_deg_rich_max,turn_deg_rich_sum,turn_gt_45_frac,turn_gt_90_frac,turn_gt_135_frac,stationary_frac_50m,stationary_frac_100m,jump_frac_500m,jump_frac_1km,longest_stationary_run_50m,longest_stationary_run_100m,unique_cells_3dp,unique_cells_4dp,revisit_ratio_3dp,revisit_ratio_4dp,start_end_same_cell_3dp,start_end_same_cell_4dp,seg1_total_dist_km,seg1_net_dist_km,seg1_n_points,seg2_total_dist_km,seg2_net_dist_km,seg2_n_points,seg3_total_dist_km,seg3_net_dist_km,seg3_n_points,knn_k3_label_raw,cluster_labelled_type,reference_lab
0,008451a05e1e7aa32c75119df950d405265e0904,142,4,False,False,58.08523104275027,0.40905092283626954,13.90785491918662,0.0,1,143,,evac_out_of_zone,sip_home_grocery,2,143,142,1.0,143.0,142.0,1.0,0.0,0.40905092283626954,2.1906612120454185,0.0,0.0,0.0,0.0,0.0,0.0,13.90785491918662,58.08523104275027,58.08523104275027,0.0,0.0,0.20309521343618978,1.557095752847751,0.0,0.0,0.0,0.0,0.0,0.0,13.90785491918662,29.042615521375136,1.5552670190348703,13.681242505831943,10.74556399040837,9.092119621945804,14.076000308742998,97.69995320606618,25.910784093119993,29.640698600259096,7.659574468085107,32.72021388811247,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1080.0,0.04964539007092199,0.0425531914893617,0.03546099290780142,0.9577464788732394,0.9577464788732394,0.04225352112676056,0.04225352112676056,48,48,4,4,0.972027972027972,0.972027972027972,1,1,0.0,0.0,48,33.5006296220234,0.0,48,24.584601420726866,0.0,47,evac_out_of_zone,extensive_displacement,extensive_displacement
1,01592d51db5afd0165cb73baca5c0b340c4889f1,142,2,False,False,11.264891308979749,0.07933022048577287,5.632445654489874,0.0,1,143,,sip_home_grocery,sip_hospital,0,143,142,1.0,143.0,142.0,1.0,0.0,0.07933022048577287,0.6637242437658081,0.0,0.0,0.0,0.0,0.0,0.0,5.632445654489874,11.264891308979749,11.264891308979749,0.0,0.0,0.03938773184957954,0.4693589944553341,0.0,0.0,0.0,0.0,0.0,0.0,5.632445654489874,5.632445654489874,0.4688620077285021,5.587135642290304,4.584786124574629,3.2614463281764254,5.626481667940236,14.953033871468147,0.0,0.0,2.5531914893617023,19.50401960066821,0.0,0.0,0.0,0.0,0.0,0.0,180.0,360.0,0.014184397163120567,0.014184397163120567,0.014184397163120567,0.9859154929577465,0.9859154929577465,0.014084507042253521,0.014084507042253521,93,93,2,2,0.986013986013986,0.986013986013986,1,1,0.0,0.0,48,5.632445654489874,5.632445654489874,48,0.0,0.0,47,sip_home_grocery,compact_local,compact_local
2,0159a99ed28b0581890608d24ada9decc4874197,142,1,False,False,0.0,0.0,0.0,0.0,1,143,,sip_hospital,sip_home_grocery,1,143,142,1.0,143.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.070399965086662e-28,4.070399965086662e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,142,142,1,1,0.993006993006993,0.993006993006993,1,1,0.0,0.0,48,0.0,0.0,48,0.0,0.0,47,sip_hospital,intermediate_directed,intermediate_directed
3,0286dd552c9bea9a69ecb3759e7b94777635514b,142,20,False,False,2460.436985041753,17.327021021420794,617.30301679932,0.0,1,143,,sip_hospital,evac_out_of_zone,1,143,142,1.0,143.0,142.0,1.0,0.0,17.327021021420794,88.452574633887,0.0,0.0,0.0,0.0,0.0,34.89633831732091,617.30301679932,2460.436985041753,2460.436985041753,0.0,0.0,46.1796170127958,136.12688175494728,0.0,0.0,0.0,0.0,0.0,169.2338597414045,617.30301679932,6603.6852328298,136.99241607498521,575.9560925482973,551.4155795158662,289.4074311059979,622.7485869210716,159583.76633951193,1009.3261400709348,1245.8242930705371,5.1063829787235155,27.804953833692377,0.0,0.0,0.0,0.0,0.0,1.0432219355200335e-12,180.0,720.0000000000157,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.852112676056338,0.852112676056338,0.14788732394366197,0.14788732394366197,76,76,20,20,0.8601398601398601,0.8601398601398601,1,1,1234.6946933118436,0.0,48,0.0,0.0,48,1225.7422917299093,0.0,47,sip_hospital,intermediate_directed,intermediate_directed
4,04f1241ed2b1b531c2c853ce1eeff952cd0f40f3,142,1,False,False,0.0,0.0,0.0,0.0,1,143,,sip_home_grocery,sip_home_grocery,0,143,142,1.0,143.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,142,142,1,1,0.993006993006993,0.993006993006993,1,1,0.0,0.0,48,0.0,0.0,48,0.0,0.0,47,sip_hospital,compact_local,intermediate_directed
5,05580caed314df2d74c3e515d57294928cfbfae6,142,2,False,False,26.42786222133494,0.18611170578404887,13.21393111066747,0.0,1,143,,sip_home_grocery,sip_hospital,0,143,142,1.0,143.0,142.0,1.0,0.0,0.18611170578404887,1.557122246995844,0.0,0.0,0.0,0.0,0.0,0.0,13.21393111066747,26.42786222133494,26.42786222133494,0.0,0.0,0.09240511266201028,1.101134000993154,0.0,0.0,0.0,0.0,0.0,0.0,13.21393111066747,13.21393111066747,1.1023302162277113,13.135780547665446,13.215468691564059,0.5821846243884048,13.228286044479992,7.693842676314945,0.0,0.0,2.5531914893617023,21.13541272400453,0.0,0.0,0.0,0.0,0.0,0.0,180.0,360.0,0.014184397163120567,0.014184397163120567,0.014184397163120567,0.9859154929577465,0.9859154929577465,0.014084507042253521,0.014084507042253521,138,138,2,2,0.986013986013986,0.986013986013986,1,1,26.42786222133494,0.0,48,0.0,0.0,48,0.0,0.0,47,sip_home_grocery,compact_local,compact_local
6,05a8ea5382b9fd885261bb3eed0527d1d3b07262,142,1,False,False,0.0,0.0,0.0,0.0,1,143,,sip_hospital,sip_home_grocery,1,143,142,1.0,143.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,142,142,1,1,0.993006993006993,0.993006993006993,1,1,0.0,0.0,48,0.0,0.0,48,0.0,0.0,47,sip_hospital,intermediate_directed,intermediate_directed
7,06349be70bd2d5dd98d36b9b8dba0a057500fdac,142,1,False,False,0.0,0.0,0.0,0.0,1,143,,evac_out_of_zone,sip_home_grocery,2,143,142,1.0,143.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2578516593487376e-28,2.2578516593487376e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,142,142,1,1,0.993006993006993,0.993006993006993,1,1,0.0,0.0,48,0.0,0.0,48,0.0,0.0,47,sip_hospital,extensive_displacement,intermediate_directed
8,065f8e41a20c940689359644aae39608d126c498,142,5,False,False,196.00219986749727,1.3802971821654737,57.75088300568621,0.0,1,143,,evac_out_of_zone,evac_out_of_zone,2,143,142,1.0,143.0,142.0,1.0,0.0,1.3802971821654737,7.354137284521759,0.0,0.0,0.0,0.0,0.0,0.0,57.75088300568621,196.00219986749727,196.00219986749727,0.0,0.0,0.9667900407894521,6.517381493972371,0.0,0.0,0.0,0.0,0.0,0.0,57.75088300568621,138.25097583289164,6.481741719723699,56.4730868285041,8.903583542248823,56.74027408200858,57.43459325872569,505.19177049925906,2.3863462487225893e-05,114.86918649733938,5.106382978723458,25.79811545115877,0.0,0.0,0.0,0.0,0.0,0.0,179.9999999999996,720.0000000000075,0.0425531914893617,0.028368794326241134,0.014184397163120567,0.9577464788732394,0.9577464788732394,0.04225352112676056,0.04225352112676056,68,68,5,5,0.965034965034965,0.965034965034965,1,1,115.50176925536752,0.0,48,0.0,0.0,48,40.25021556955805,40.25021504257168,47,evac_out_of_zone,extensive_displacement,extensive_displacement
9,0716d9708d321ffb6a00818614779e779925365c,142,26,False,False,3887.102412427459,27.373960650897597,642.3357430965865,0.0,1,143,,sip_home_grocery,evac_out_of_zone,0,143,142,1.0,143.0,142.0,1.0,0.0,27.373960650897597,115.98147687299661,0.0,0.0,0.0,0.0,0.0,35.00480076594362,642.3357430965865,3887.102412427459,3887.102412427459,0.0,0.0,72.28750145488902,178.02274161163302,0.0,0.0,0.0,0.0,0.0,379.6718989453476,642.3357430965865,10337.112708049131,178.93179193531444,573.8851221587012,489.2522998023552,422.5680503640035,646.4762718385947,206742.39046358617,7152.082275614047,1296.6618177884634,9.949831465823793,37.07384345437791,0.0,0.0,0.0,0.0,0.0,1.933777246329818e-12,179.9999999999996,1402.926236681155,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.8028169014084507,0.8028169014084507,0.19718309859154928,0.19718309859154928,41,41,26,26,0.8181818181818181,0.8181818181818181,1,1,1260.3601388248233,0.0,48,1263.7102386846273,0.0,48,737.0898912755251,625.9421436424834,47,sip_home_grocery,compact_local,compact_local
10,08a35293e09f508494096c1c1b3819edb9df50db,142,20,False,False,2517.495558498096,17.728841961254197,629.7314654730184,0.0,1,143,,sip_home_grocery,evac_out_of_zone,0,143,142,1.0,143.0,142.0,1.0,0.0,17.728841961254197,90.61917387873495,0.0,0.0,0.0,0.0,0.0,34.90218245596296,629.7314654730184,2517.495558498096,2517.495558498096,0.0,0.0,46.38792331621192,136.99046968013738,0.0,0.0,0.0,0.0,0.0,169.28013437495167,629.7314654730184,6633.473034218305,137.8690593202397,588.4034589277179,557.5766260994968,303.95310908399875,635.042665097651,169477.14905550834,23.384249413365623,1270.0888156857427,5.106382978723493,27.75356702615353,0.0,0.0,0.0,0.0,0.0,5.597776239375789e-13,180.0,720.0000000000126,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.852112676056338,0.852112676056338,0.14788732394366197,0.14788732394366197,76,76,20,20,0.8601398601398601,0.8601398601398601,1,1,1258.0326275520597,0.0,48,0.0,0.0,48,1259.4629309460367,0.0,47,sip_home_grocery,compact_local,compact_local
11,097ccd4f03d962011101c1221009e53461a0993f,142,3,False,False,4.4762453885192315,0.03152285484872698,1.1802107429855029,0.0,1,143,,sip_home_grocery,sip_home_grocery,0,143,142,1.0,143.0,142.0,1.0,0.0,0.03152285484872698,0.18543907080612626,0.0,0.0,0.0,0.0,0.0,0.0,1.1802107429855029,4.4762453885192315,4.4762453885192315,0.0,0.0,0.015651207652165145,0.13161306318855628,0.0,0.0,0.0,0.0,0.0,0.0,1.1802107429855029,2.2381226942596157,0.1315975838255149,1.163499004423349,1.0370833980577618,0.7613582126385033,1.286548989537177,0.7895919623023231,0.29883699726650004,2.8020589103238707,5.1063829787234045,28.02691077954709,0.0,0.0,0.0,0.0,0.0,0.0,180.0,720.0,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.971830985915493,0.971830985915493,0.028169014084507043,0.028169014084507043,72,72,3,3,0.9790209790209791,0.9790209790209791,1,1,0.0,0.0,48,2.3604214859710058,0.0,48,2.1158239025482253,0.0,47,sip_home_grocery,compact_local,compact_local
